observed;actual;practitioner;date
68;0;2;01/01/2012
144;48;2;01/02/2012
352;61;2;01/03/2012
248;65;2;01/04/2012
484;145;2;01/05/2012
29;11;2;01/06/2012
56;94;2;01/07/2012
93;77;2;01/08/2012
278;185;2;01/09/2012
327;76;2;01/10/2012
242;112;2;01/11/2012
287;139;2;01/12/2012
332;103;2;01/13/2012
41;14;2;01/14/2012
2;1;2;01/15/2012
246;123;2;01/16/2012
227;76;2;01/17/2012
202;90;2;01/18/2012
236;134;2;01/19/2012
187;109;2;01/20/2012
55;22;2;01/21/2012
23;9;2;01/22/2012
275;203;2;01/23/2012
253;93;2;01/24/2012
193;103;2;01/25/2012
315;162;2;01/26/2012
102;50;2;01/27/2012
57;57;2;01/28/2012
32;32;2;01/29/2012
249;215;2;01/30/2012
313;63;2;01/31/2012
182;55;2;02/01/2012
371;141;2;02/02/2012
267;57;2;02/03/2012
17;9;2;02/04/2012
0;0;2;02/05/2012
245;155;2;02/06/2012
367;107;2;02/07/2012
262;71;2;02/08/2012
250;149;2;02/09/2012
178;110;2;02/10/2012
2;3;2;02/11/2012
47;98;2;02/12/2012
234;204;2;02/13/2012
311;80;2;02/14/2012
116;86;2;02/15/2012
253;156;2;02/16/2012
169;97;2;02/17/2012
3;63;2;02/18/2012
0;0;2;02/19/2012
72;91;2;02/20/2012
79;69;2;02/21/2012
119;96;2;02/22/2012
256;193;2;02/23/2012
342;117;2;02/24/2012
270;124;2;02/25/2012
120;214;2;02/26/2012
200;196;2;02/27/2012
404;159;2;02/28/2012
197;96;2;02/29/2012
406;189;2;03/01/2012
203;138;2;03/02/2012
114;120;2;03/03/2012
0;139;2;03/04/2012
158;241;2;03/05/2012
250;88;2;03/06/2012
115;117;2;03/07/2012
164;190;2;03/08/2012
104;126;2;03/09/2012
90;55;2;03/10/2012
1;76;2;03/11/2012
136;189;2;03/12/2012
146;91;2;03/13/2012
57;100;2;03/14/2012
235;206;2;03/15/2012
163;161;2;03/16/2012
0;2;2;03/17/2012
32;76;2;03/18/2012
102;173;2;03/19/2012
121;131;2;03/20/2012
130;148;2;03/21/2012
97;164;2;03/22/2012
85;80;2;03/23/2012
74;78;2;03/24/2012
8;78;2;03/25/2012
113;155;2;03/26/2012
76;80;2;03/27/2012
75;95;2;03/28/2012
140;176;2;03/29/2012
82;209;2;03/30/2012
8;0;2;03/31/2012
