observed;actual;practitioner;date
0;0;10;01/01/2012
46;81;10;01/02/2012
23;95;10;01/03/2012
13;24;10;01/04/2012
15;88;10;01/05/2012
0;0;10;01/06/2012
0;0;10;01/07/2012
0;0;10;01/08/2012
25;82;10;01/09/2012
116;74;10;01/10/2012
4;62;10;01/11/2012
6;56;10;01/12/2012
0;34;10;01/13/2012
0;0;10;01/14/2012
0;0;10;01/15/2012
26;80;10;01/16/2012
52;95;10;01/17/2012
5;30;10;01/18/2012
11;41;10;01/19/2012
0;22;10;01/20/2012
0;0;10;01/21/2012
0;0;10;01/22/2012
11;68;10;01/23/2012
34;87;10;01/24/2012
9;39;10;01/25/2012
1;39;10;01/26/2012
3;10;10;01/27/2012
0;0;10;01/28/2012
0;0;10;01/29/2012
5;59;10;01/30/2012
25;80;10;01/31/2012
1;19;10;02/01/2012
9;40;10;02/02/2012
2;22;10;02/03/2012
0;0;10;02/04/2012
0;0;10;02/05/2012
14;43;10;02/06/2012
40;65;10;02/07/2012
9;39;10;02/08/2012
8;30;10;02/09/2012
8;8;10;02/10/2012
0;0;10;02/11/2012
0;0;10;02/12/2012
6;68;10;02/13/2012
25;83;10;02/14/2012
0;10;10;02/15/2012
16;30;10;02/16/2012
3;12;10;02/17/2012
2;0;10;02/18/2012
0;0;10;02/19/2012
17;14;10;02/20/2012
40;26;10;02/21/2012
0;14;10;02/22/2012
6;12;10;02/23/2012
7;20;10;02/24/2012
0;0;10;02/25/2012
0;0;10;02/26/2012
34;26;10;02/27/2012
38;53;10;02/28/2012
1;5;10;02/29/2012
30;12;10;03/01/2012
38;11;10;03/02/2012
0;0;10;03/03/2012
0;0;10;03/04/2012
30;21;10;03/05/2012
71;47;10;03/06/2012
32;14;10;03/07/2012
3;5;10;03/08/2012
39;3;10;03/09/2012
0;0;10;03/10/2012
0;0;10;03/11/2012
46;32;10;03/12/2012
94;24;10;03/13/2012
57;11;10;03/14/2012
39;37;10;03/15/2012
41;6;10;03/16/2012
0;0;10;03/17/2012
0;0;10;03/18/2012
44;33;10;03/19/2012
37;30;10;03/20/2012
18;6;10;03/21/2012
53;41;10;03/22/2012
35;24;10;03/23/2012
0;0;10;03/24/2012
0;0;10;03/25/2012
29;21;10;03/26/2012
32;19;10;03/27/2012
6;5;10;03/28/2012
4;4;10;03/29/2012
1;3;10;03/30/2012
0;0;10;03/31/2012
