observed;actual;practitioner;date
0;0;13;01/01/2012
133;84;13;01/02/2012
118;99;13;01/03/2012
124;107;13;01/04/2012
163;147;13;01/05/2012
0;0;13;01/06/2012
0;0;13;01/07/2012
0;0;13;01/08/2012
76;54;13;01/09/2012
69;54;13;01/10/2012
73;56;13;01/11/2012
77;62;13;01/12/2012
39;36;13;01/13/2012
2;0;13;01/14/2012
0;0;13;01/15/2012
52;42;13;01/16/2012
53;49;13;01/17/2012
34;26;13;01/18/2012
122;94;13;01/19/2012
56;44;13;01/20/2012
0;0;13;01/21/2012
0;0;13;01/22/2012
54;51;13;01/23/2012
83;72;13;01/24/2012
44;39;13;01/25/2012
126;92;13;01/26/2012
93;73;13;01/27/2012
0;0;13;01/28/2012
0;0;13;01/29/2012
40;37;13;01/30/2012
35;30;13;01/31/2012
40;38;13;02/01/2012
128;114;13;02/02/2012
42;38;13;02/03/2012
0;0;13;02/04/2012
0;0;13;02/05/2012
52;51;13;02/06/2012
29;24;13;02/07/2012
35;32;13;02/08/2012
33;30;13;02/09/2012
86;79;13;02/10/2012
0;0;13;02/11/2012
0;0;13;02/12/2012
59;52;13;02/13/2012
17;17;13;02/14/2012
44;37;13;02/15/2012
76;80;13;02/16/2012
93;88;13;02/17/2012
0;0;13;02/18/2012
0;0;13;02/19/2012
5;6;13;02/20/2012
1;1;13;02/21/2012
0;0;13;02/22/2012
4;7;13;02/23/2012
0;0;13;02/24/2012
2;2;13;02/25/2012
0;0;13;02/26/2012
64;66;13;02/27/2012
60;59;13;02/28/2012
85;83;13;02/29/2012
110;100;13;03/01/2012
38;38;13;03/02/2012
0;0;13;03/03/2012
0;0;13;03/04/2012
55;49;13;03/05/2012
2;2;13;03/06/2012
79;75;13;03/07/2012
2;0;13;03/08/2012
0;0;13;03/09/2012
0;0;13;03/10/2012
0;0;13;03/11/2012
47;49;13;03/12/2012
3;7;13;03/13/2012
42;42;13;03/14/2012
73;68;13;03/15/2012
106;95;13;03/16/2012
0;0;13;03/17/2012
0;0;13;03/18/2012
51;49;13;03/19/2012
3;3;13;03/20/2012
14;15;13;03/21/2012
37;37;13;03/22/2012
31;33;13;03/23/2012
0;0;13;03/24/2012
0;0;13;03/25/2012
26;35;13;03/26/2012
0;0;13;03/27/2012
24;27;13;03/28/2012
55;53;13;03/29/2012
81;75;13;03/30/2012
0;0;13;03/31/2012
