observed;actual;practitioner;date
0;0;12;01/01/2012
26;28;12;01/02/2012
13;35;12;01/03/2012
21;25;12;01/04/2012
35;41;12;01/05/2012
0;0;12;01/06/2012
0;0;12;01/07/2012
0;0;12;01/08/2012
30;30;12;01/09/2012
32;34;12;01/10/2012
27;27;12;01/11/2012
0;0;12;01/12/2012
0;0;12;01/13/2012
0;0;12;01/14/2012
0;0;12;01/15/2012
35;40;12;01/16/2012
26;27;12;01/17/2012
13;18;12;01/18/2012
0;0;12;01/19/2012
0;0;12;01/20/2012
0;0;12;01/21/2012
0;0;12;01/22/2012
33;40;12;01/23/2012
34;45;12;01/24/2012
13;17;12;01/25/2012
0;0;12;01/26/2012
0;1;12;01/27/2012
0;0;12;01/28/2012
0;0;12;01/29/2012
20;26;12;01/30/2012
7;9;12;01/31/2012
0;0;12;02/01/2012
0;0;12;02/02/2012
0;0;12;02/03/2012
0;0;12;02/04/2012
0;0;12;02/05/2012
26;27;12;02/06/2012
0;0;12;02/07/2012
14;19;12;02/08/2012
0;7;12;02/09/2012
0;0;12;02/10/2012
0;3;12;02/11/2012
0;0;12;02/12/2012
28;22;12;02/13/2012
20;16;12;02/14/2012
0;1;12;02/15/2012
0;0;12;02/16/2012
33;28;12;02/17/2012
0;0;12;02/18/2012
0;0;12;02/19/2012
41;41;12;02/20/2012
34;40;12;02/21/2012
28;29;12;02/22/2012
0;0;12;02/23/2012
0;3;12;02/24/2012
0;0;12;02/25/2012
0;0;12;02/26/2012
41;48;12;02/27/2012
14;14;12;02/28/2012
13;14;12;02/29/2012
0;2;12;03/01/2012
0;0;12;03/02/2012
0;0;12;03/03/2012
0;0;12;03/04/2012
0;3;12;03/05/2012
28;48;12;03/06/2012
50;46;12;03/07/2012
0;0;12;03/08/2012
0;0;12;03/09/2012
0;0;12;03/10/2012
0;0;12;03/11/2012
24;27;12;03/12/2012
33;28;12;03/13/2012
32;27;12;03/14/2012
0;0;12;03/15/2012
27;32;12;03/16/2012
0;0;12;03/17/2012
0;0;12;03/18/2012
20;22;12;03/19/2012
0;8;12;03/20/2012
0;2;12;03/21/2012
0;0;12;03/22/2012
0;0;12;03/23/2012
0;0;12;03/24/2012
0;0;12;03/25/2012
0;8;12;03/26/2012
0;29;12;03/27/2012
0;0;12;03/28/2012
0;0;12;03/29/2012
0;15;12;03/30/2012
0;0;12;03/31/2012
