observed;actual;practitioner;date
0;0;20;01/01/2012
0;1;20;01/02/2012
0;0;20;01/03/2012
0;0;20;01/04/2012
0;0;20;01/05/2012
0;0;20;01/06/2012
0;0;20;01/07/2012
0;0;20;01/08/2012
0;0;20;01/09/2012
0;0;20;01/10/2012
0;0;20;01/11/2012
0;0;20;01/12/2012
0;0;20;01/13/2012
0;0;20;01/14/2012
0;0;20;01/15/2012
0;0;20;01/16/2012
0;0;20;01/17/2012
0;0;20;01/18/2012
0;0;20;01/19/2012
0;0;20;01/20/2012
0;0;20;01/21/2012
0;0;20;01/22/2012
0;0;20;01/23/2012
0;0;20;01/24/2012
0;0;20;01/25/2012
0;0;20;01/26/2012
0;0;20;01/27/2012
0;0;20;01/28/2012
0;0;20;01/29/2012
0;0;20;01/30/2012
0;0;20;01/31/2012
0;0;20;02/01/2012
0;0;20;02/02/2012
0;0;20;02/03/2012
0;0;20;02/04/2012
0;0;20;02/05/2012
0;0;20;02/06/2012
0;0;20;02/07/2012
0;0;20;02/08/2012
0;0;20;02/09/2012
0;0;20;02/10/2012
0;0;20;02/11/2012
0;0;20;02/12/2012
0;0;20;02/13/2012
0;0;20;02/14/2012
0;0;20;02/15/2012
0;0;20;02/16/2012
0;0;20;02/17/2012
0;0;20;02/18/2012
0;0;20;02/19/2012
0;0;20;02/20/2012
0;0;20;02/21/2012
0;0;20;02/22/2012
0;0;20;02/23/2012
0;0;20;02/24/2012
0;0;20;02/25/2012
0;0;20;02/26/2012
0;0;20;02/27/2012
0;0;20;02/28/2012
0;0;20;02/29/2012
0;0;20;03/01/2012
0;0;20;03/02/2012
0;0;20;03/03/2012
0;0;20;03/04/2012
0;0;20;03/05/2012
0;0;20;03/06/2012
0;0;20;03/07/2012
14;13;20;03/08/2012
4;5;20;03/09/2012
0;0;20;03/10/2012
0;0;20;03/11/2012
0;0;20;03/12/2012
8;4;20;03/13/2012
0;0;20;03/14/2012
17;17;20;03/15/2012
0;0;20;03/16/2012
0;0;20;03/17/2012
0;0;20;03/18/2012
0;0;20;03/19/2012
0;0;20;03/20/2012
9;9;20;03/21/2012
0;0;20;03/22/2012
1;1;20;03/23/2012
0;0;20;03/24/2012
0;0;20;03/25/2012
0;0;20;03/26/2012
0;0;20;03/27/2012
0;0;20;03/28/2012
11;8;20;03/29/2012
0;0;20;03/30/2012
0;0;20;03/31/2012
