observed;actual;practitioner;date
0;0;6;01/01/2012
2;2;6;01/02/2012
0;1;6;01/03/2012
0;0;6;01/04/2012
0;1;6;01/05/2012
0;0;6;01/06/2012
0;0;6;01/07/2012
0;0;6;01/08/2012
3;0;6;01/09/2012
0;0;6;01/10/2012
0;0;6;01/11/2012
0;2;6;01/12/2012
0;1;6;01/13/2012
0;0;6;01/14/2012
0;0;6;01/15/2012
0;0;6;01/16/2012
0;0;6;01/17/2012
0;0;6;01/18/2012
0;1;6;01/19/2012
0;0;6;01/20/2012
0;0;6;01/21/2012
0;0;6;01/22/2012
0;3;6;01/23/2012
0;0;6;01/24/2012
0;0;6;01/25/2012
0;3;6;01/26/2012
0;2;6;01/27/2012
0;0;6;01/28/2012
0;0;6;01/29/2012
0;0;6;01/30/2012
0;2;6;01/31/2012
18;20;6;02/01/2012
38;43;6;02/02/2012
20;19;6;02/03/2012
0;0;6;02/04/2012
0;0;6;02/05/2012
19;28;6;02/06/2012
0;8;6;02/07/2012
2;16;6;02/08/2012
20;31;6;02/09/2012
19;17;6;02/10/2012
0;0;6;02/11/2012
0;0;6;02/12/2012
8;31;6;02/13/2012
3;41;6;02/14/2012
20;22;6;02/15/2012
59;50;6;02/16/2012
18;23;6;02/17/2012
0;0;6;02/18/2012
0;0;6;02/19/2012
0;16;6;02/20/2012
0;16;6;02/21/2012
10;44;6;02/22/2012
19;75;6;02/23/2012
21;26;6;02/24/2012
0;0;6;02/25/2012
0;0;6;02/26/2012
8;40;6;02/27/2012
6;65;6;02/28/2012
6;56;6;02/29/2012
25;56;6;03/01/2012
42;44;6;03/02/2012
0;0;6;03/03/2012
0;0;6;03/04/2012
28;64;6;03/05/2012
68;63;6;03/06/2012
38;43;6;03/07/2012
81;105;6;03/08/2012
11;16;6;03/09/2012
0;0;6;03/10/2012
0;0;6;03/11/2012
0;15;6;03/12/2012
0;14;6;03/13/2012
0;2;6;03/14/2012
0;3;6;03/15/2012
0;5;6;03/16/2012
0;0;6;03/17/2012
0;0;6;03/18/2012
0;11;6;03/19/2012
0;6;6;03/20/2012
0;1;6;03/21/2012
1;14;6;03/22/2012
0;6;6;03/23/2012
0;0;6;03/24/2012
0;0;6;03/25/2012
66;72;6;03/26/2012
54;69;6;03/27/2012
74;62;6;03/28/2012
110;97;6;03/29/2012
64;68;6;03/30/2012
0;0;6;03/31/2012
