observed;actual;practitioner;date
0;0;14;01/01/2012
3;2;14;01/02/2012
7;4;14;01/03/2012
6;6;14;01/04/2012
62;13;14;01/05/2012
0;0;14;01/06/2012
0;0;14;01/07/2012
0;0;14;01/08/2012
216;211;14;01/09/2012
107;108;14;01/10/2012
5;3;14;01/11/2012
6;5;14;01/12/2012
106;102;14;01/13/2012
0;3;14;01/14/2012
0;0;14;01/15/2012
124;126;14;01/16/2012
94;90;14;01/17/2012
63;64;14;01/18/2012
32;3;14;01/19/2012
69;68;14;01/20/2012
0;0;14;01/21/2012
0;0;14;01/22/2012
132;134;14;01/23/2012
132;137;14;01/24/2012
8;8;14;01/25/2012
5;10;14;01/26/2012
72;70;14;01/27/2012
0;0;14;01/28/2012
0;0;14;01/29/2012
151;154;14;01/30/2012
108;122;14;01/31/2012
2;3;14;02/01/2012
2;4;14;02/02/2012
90;92;14;02/03/2012
3;3;14;02/04/2012
0;0;14;02/05/2012
97;91;14;02/06/2012
77;79;14;02/07/2012
10;12;14;02/08/2012
2;3;14;02/09/2012
75;70;14;02/10/2012
0;0;14;02/11/2012
0;0;14;02/12/2012
90;91;14;02/13/2012
79;83;14;02/14/2012
6;7;14;02/15/2012
4;5;14;02/16/2012
64;69;14;02/17/2012
0;0;14;02/18/2012
0;0;14;02/19/2012
82;86;14;02/20/2012
79;81;14;02/21/2012
1;8;14;02/22/2012
0;2;14;02/23/2012
20;23;14;02/24/2012
0;0;14;02/25/2012
0;0;14;02/26/2012
136;142;14;02/27/2012
93;110;14;02/28/2012
3;5;14;02/29/2012
8;11;14;03/01/2012
107;100;14;03/02/2012
0;0;14;03/03/2012
0;0;14;03/04/2012
113;84;14;03/05/2012
128;139;14;03/06/2012
8;7;14;03/07/2012
5;8;14;03/08/2012
81;85;14;03/09/2012
0;0;14;03/10/2012
0;0;14;03/11/2012
88;88;14;03/12/2012
104;107;14;03/13/2012
11;10;14;03/14/2012
5;9;14;03/15/2012
36;34;14;03/16/2012
0;0;14;03/17/2012
0;0;14;03/18/2012
18;20;14;03/19/2012
2;5;14;03/20/2012
0;4;14;03/21/2012
4;5;14;03/22/2012
21;23;14;03/23/2012
0;0;14;03/24/2012
0;0;14;03/25/2012
96;88;14;03/26/2012
90;107;14;03/27/2012
10;13;14;03/28/2012
1;6;14;03/29/2012
33;41;14;03/30/2012
0;0;14;03/31/2012
