observed;actual;practitioner;date
9;11;1;01/01/2012
1;0;1;01/02/2012
5;20;1;01/03/2012
0;3;1;01/04/2012
0;0;1;01/05/2012
0;0;1;01/06/2012
0;3;1;01/07/2012
0;0;1;01/08/2012
144;80;1;01/09/2012
81;89;1;01/10/2012
58;54;1;01/11/2012
94;109;1;01/12/2012
58;68;1;01/13/2012
0;0;1;01/14/2012
0;0;1;01/15/2012
88;91;1;01/16/2012
64;67;1;01/17/2012
74;80;1;01/18/2012
61;60;1;01/19/2012
76;76;1;01/20/2012
0;0;1;01/21/2012
0;0;1;01/22/2012
149;156;1;01/23/2012
145;166;1;01/24/2012
113;91;1;01/25/2012
130;136;1;01/26/2012
90;103;1;01/27/2012
0;0;1;01/28/2012
0;0;1;01/29/2012
96;64;1;01/30/2012
53;59;1;01/31/2012
70;51;1;02/01/2012
115;56;1;02/02/2012
48;50;1;02/03/2012
0;0;1;02/04/2012
0;0;1;02/05/2012
100;62;1;02/06/2012
93;112;1;02/07/2012
28;27;1;02/08/2012
94;68;1;02/09/2012
52;51;1;02/10/2012
0;0;1;02/11/2012
0;0;1;02/12/2012
75;67;1;02/13/2012
42;49;1;02/14/2012
66;33;1;02/15/2012
54;51;1;02/16/2012
53;61;1;02/17/2012
0;0;1;02/18/2012
0;0;1;02/19/2012
9;17;1;02/20/2012
40;58;1;02/21/2012
69;39;1;02/22/2012
51;47;1;02/23/2012
76;85;1;02/24/2012
0;0;1;02/25/2012
0;0;1;02/26/2012
154;165;1;02/27/2012
164;159;1;02/28/2012
56;52;1;02/29/2012
25;29;1;03/01/2012
67;62;1;03/02/2012
0;0;1;03/03/2012
0;0;1;03/04/2012
62;60;1;03/05/2012
106;132;1;03/06/2012
41;36;1;03/07/2012
54;40;1;03/08/2012
46;51;1;03/09/2012
0;0;1;03/10/2012
0;0;1;03/11/2012
57;61;1;03/12/2012
90;113;1;03/13/2012
30;28;1;03/14/2012
73;44;1;03/15/2012
45;45;1;03/16/2012
0;0;1;03/17/2012
0;0;1;03/18/2012
72;88;1;03/19/2012
121;137;1;03/20/2012
58;24;1;03/21/2012
79;70;1;03/22/2012
24;25;1;03/23/2012
0;2;1;03/24/2012
0;0;1;03/25/2012
92;65;1;03/26/2012
50;51;1;03/27/2012
21;23;1;03/28/2012
61;71;1;03/29/2012
32;34;1;03/30/2012
5;0;1;03/31/2012
