observed;actual;practitioner;date
0;0;11;01/01/2012
10;14;11;01/02/2012
0;0;11;01/03/2012
0;0;11;01/04/2012
10;9;11;01/05/2012
0;0;11;01/06/2012
0;0;11;01/07/2012
0;0;11;01/08/2012
5;6;11;01/09/2012
0;0;11;01/10/2012
0;0;11;01/11/2012
5;8;11;01/12/2012
0;0;11;01/13/2012
0;0;11;01/14/2012
0;0;11;01/15/2012
5;5;11;01/16/2012
0;0;11;01/17/2012
0;0;11;01/18/2012
4;4;11;01/19/2012
0;0;11;01/20/2012
0;0;11;01/21/2012
0;0;11;01/22/2012
6;6;11;01/23/2012
0;0;11;01/24/2012
0;0;11;01/25/2012
5;5;11;01/26/2012
0;0;11;01/27/2012
0;0;11;01/28/2012
0;0;11;01/29/2012
3;3;11;01/30/2012
0;0;11;01/31/2012
0;0;11;02/01/2012
4;4;11;02/02/2012
0;0;11;02/03/2012
0;0;11;02/04/2012
0;0;11;02/05/2012
4;8;11;02/06/2012
0;0;11;02/07/2012
0;0;11;02/08/2012
2;3;11;02/09/2012
0;0;11;02/10/2012
0;0;11;02/11/2012
0;0;11;02/12/2012
3;3;11;02/13/2012
0;0;11;02/14/2012
2;1;11;02/15/2012
3;3;11;02/16/2012
0;0;11;02/17/2012
0;0;11;02/18/2012
0;0;11;02/19/2012
5;4;11;02/20/2012
0;0;11;02/21/2012
0;0;11;02/22/2012
3;3;11;02/23/2012
0;0;11;02/24/2012
0;0;11;02/25/2012
0;0;11;02/26/2012
5;5;11;02/27/2012
0;0;11;02/28/2012
0;0;11;02/29/2012
4;4;11;03/01/2012
0;0;11;03/02/2012
0;0;11;03/03/2012
0;0;11;03/04/2012
6;5;11;03/05/2012
0;0;11;03/06/2012
0;0;11;03/07/2012
4;4;11;03/08/2012
0;0;11;03/09/2012
0;0;11;03/10/2012
0;0;11;03/11/2012
4;4;11;03/12/2012
0;0;11;03/13/2012
0;0;11;03/14/2012
3;3;11;03/15/2012
1;1;11;03/16/2012
0;0;11;03/17/2012
0;0;11;03/18/2012
4;4;11;03/19/2012
0;0;11;03/20/2012
0;0;11;03/21/2012
4;4;11;03/22/2012
0;0;11;03/23/2012
0;0;11;03/24/2012
0;0;11;03/25/2012
2;2;11;03/26/2012
0;0;11;03/27/2012
0;0;11;03/28/2012
5;5;11;03/29/2012
0;0;11;03/30/2012
0;0;11;03/31/2012
