observed;actual;practitioner;date
0;0;16;01/01/2012
0;0;16;01/02/2012
12;22;16;01/03/2012
25;25;16;01/04/2012
0;0;16;01/05/2012
0;0;16;01/06/2012
0;0;16;01/07/2012
0;0;16;01/08/2012
0;0;16;01/09/2012
24;34;16;01/10/2012
25;25;16;01/11/2012
34;41;16;01/12/2012
7;7;16;01/13/2012
0;0;16;01/14/2012
0;0;16;01/15/2012
19;19;16;01/16/2012
30;46;16;01/17/2012
36;41;16;01/18/2012
32;32;16;01/19/2012
20;22;16;01/20/2012
0;0;16;01/21/2012
0;0;16;01/22/2012
33;32;16;01/23/2012
54;78;16;01/24/2012
36;36;16;01/25/2012
34;38;16;01/26/2012
42;68;16;01/27/2012
0;0;16;01/28/2012
0;0;16;01/29/2012
27;31;16;01/30/2012
41;55;16;01/31/2012
41;42;16;02/01/2012
28;42;16;02/02/2012
20;32;16;02/03/2012
0;0;16;02/04/2012
0;0;16;02/05/2012
25;25;16;02/06/2012
0;66;16;02/07/2012
36;31;16;02/08/2012
21;30;16;02/09/2012
0;0;16;02/10/2012
0;0;16;02/11/2012
0;0;16;02/12/2012
27;40;16;02/13/2012
0;63;16;02/14/2012
43;44;16;02/15/2012
40;38;16;02/16/2012
38;67;16;02/17/2012
0;0;16;02/18/2012
0;0;16;02/19/2012
0;0;16;02/20/2012
0;0;16;02/21/2012
41;38;16;02/22/2012
58;59;16;02/23/2012
23;21;16;02/24/2012
0;0;16;02/25/2012
0;0;16;02/26/2012
25;30;16;02/27/2012
42;66;16;02/28/2012
35;31;16;02/29/2012
35;35;16;03/01/2012
0;0;16;03/02/2012
0;0;16;03/03/2012
0;0;16;03/04/2012
35;35;16;03/05/2012
42;56;16;03/06/2012
45;54;16;03/07/2012
13;15;16;03/08/2012
32;44;16;03/09/2012
0;0;16;03/10/2012
0;0;16;03/11/2012
35;37;16;03/12/2012
0;57;16;03/13/2012
37;47;16;03/14/2012
28;30;16;03/15/2012
32;53;16;03/16/2012
0;0;16;03/17/2012
0;0;16;03/18/2012
26;26;16;03/19/2012
36;105;16;03/20/2012
31;32;16;03/21/2012
41;44;16;03/22/2012
20;22;16;03/23/2012
0;0;16;03/24/2012
0;0;16;03/25/2012
25;29;16;03/26/2012
0;40;16;03/27/2012
0;0;16;03/28/2012
0;6;16;03/29/2012
0;42;16;03/30/2012
0;0;16;03/31/2012
