observed;actual;practitioner;date
0;0;8;01/01/2012
79;42;8;01/02/2012
0;59;8;01/03/2012
51;76;8;01/04/2012
0;92;8;01/05/2012
0;0;8;01/06/2012
0;1;8;01/07/2012
0;2;8;01/08/2012
40;37;8;01/09/2012
0;65;8;01/10/2012
44;59;8;01/11/2012
0;21;8;01/12/2012
43;97;8;01/13/2012
0;0;8;01/14/2012
0;1;8;01/15/2012
24;20;8;01/16/2012
0;32;8;01/17/2012
30;59;8;01/18/2012
0;20;8;01/19/2012
37;57;8;01/20/2012
0;0;8;01/21/2012
0;0;8;01/22/2012
31;29;8;01/23/2012
2;43;8;01/24/2012
19;43;8;01/25/2012
0;21;8;01/26/2012
19;40;8;01/27/2012
0;0;8;01/28/2012
0;0;8;01/29/2012
15;16;8;01/30/2012
0;86;8;01/31/2012
0;46;8;02/01/2012
0;64;8;02/02/2012
1;54;8;02/03/2012
0;2;8;02/04/2012
0;0;8;02/05/2012
0;0;8;02/06/2012
0;79;8;02/07/2012
0;45;8;02/08/2012
0;25;8;02/09/2012
0;33;8;02/10/2012
1;2;8;02/11/2012
0;0;8;02/12/2012
21;19;8;02/13/2012
0;67;8;02/14/2012
19;34;8;02/15/2012
0;34;8;02/16/2012
32;52;8;02/17/2012
0;0;8;02/18/2012
0;0;8;02/19/2012
26;28;8;02/20/2012
0;0;8;02/21/2012
20;18;8;02/22/2012
0;11;8;02/23/2012
17;110;8;02/24/2012
0;63;8;02/25/2012
0;0;8;02/26/2012
30;30;8;02/27/2012
2;94;8;02/28/2012
34;55;8;02/29/2012
0;86;8;03/01/2012
14;61;8;03/02/2012
0;53;8;03/03/2012
0;0;8;03/04/2012
21;25;8;03/05/2012
0;83;8;03/06/2012
18;20;8;03/07/2012
0;29;8;03/08/2012
14;46;8;03/09/2012
0;57;8;03/10/2012
0;0;8;03/11/2012
5;15;8;03/12/2012
0;63;8;03/13/2012
16;35;8;03/14/2012
0;86;8;03/15/2012
20;41;8;03/16/2012
0;0;8;03/17/2012
0;1;8;03/18/2012
22;36;8;03/19/2012
1;52;8;03/20/2012
10;41;8;03/21/2012
9;12;8;03/22/2012
30;51;8;03/23/2012
0;0;8;03/24/2012
0;0;8;03/25/2012
17;25;8;03/26/2012
0;37;8;03/27/2012
7;22;8;03/28/2012
0;35;8;03/29/2012
27;36;8;03/30/2012
0;0;8;03/31/2012
