observed;actual;practitioner;date
1;1;5;01/01/2012
5;6;5;01/02/2012
85;66;5;01/03/2012
52;49;5;01/04/2012
53;47;5;01/05/2012
0;0;5;01/06/2012
0;0;5;01/07/2012
0;0;5;01/08/2012
67;60;5;01/09/2012
45;49;5;01/10/2012
8;14;5;01/11/2012
29;24;5;01/12/2012
33;27;5;01/13/2012
0;0;5;01/14/2012
0;0;5;01/15/2012
65;61;5;01/16/2012
73;63;5;01/17/2012
32;38;5;01/18/2012
78;93;5;01/19/2012
20;16;5;01/20/2012
0;0;5;01/21/2012
0;0;5;01/22/2012
42;42;5;01/23/2012
66;60;5;01/24/2012
19;19;5;01/25/2012
34;30;5;01/26/2012
29;30;5;01/27/2012
0;0;5;01/28/2012
0;0;5;01/29/2012
63;52;5;01/30/2012
57;67;5;01/31/2012
15;23;5;02/01/2012
46;48;5;02/02/2012
22;26;5;02/03/2012
0;0;5;02/04/2012
0;0;5;02/05/2012
65;62;5;02/06/2012
22;23;5;02/07/2012
11;11;5;02/08/2012
20;21;5;02/09/2012
23;31;5;02/10/2012
0;0;5;02/11/2012
0;0;5;02/12/2012
51;51;5;02/13/2012
25;37;5;02/14/2012
17;19;5;02/15/2012
29;19;5;02/16/2012
11;12;5;02/17/2012
0;0;5;02/18/2012
0;0;5;02/19/2012
41;55;5;02/20/2012
17;23;5;02/21/2012
6;7;5;02/22/2012
75;53;5;02/23/2012
1;2;5;02/24/2012
0;0;5;02/25/2012
0;0;5;02/26/2012
50;65;5;02/27/2012
42;48;5;02/28/2012
20;27;5;02/29/2012
16;28;5;03/01/2012
15;27;5;03/02/2012
0;0;5;03/03/2012
0;0;5;03/04/2012
42;50;5;03/05/2012
30;33;5;03/06/2012
10;20;5;03/07/2012
15;20;5;03/08/2012
10;13;5;03/09/2012
0;0;5;03/10/2012
0;0;5;03/11/2012
21;25;5;03/12/2012
28;40;5;03/13/2012
13;17;5;03/14/2012
12;19;5;03/15/2012
11;20;5;03/16/2012
0;0;5;03/17/2012
0;0;5;03/18/2012
34;43;5;03/19/2012
29;37;5;03/20/2012
11;15;5;03/21/2012
12;15;5;03/22/2012
9;12;5;03/23/2012
0;0;5;03/24/2012
0;0;5;03/25/2012
29;43;5;03/26/2012
11;16;5;03/27/2012
13;15;5;03/28/2012
27;37;5;03/29/2012
16;20;5;03/30/2012
0;0;5;03/31/2012
