observed;actual;practitioner;date
0;0;7;01/01/2012
5;8;7;01/02/2012
9;8;7;01/03/2012
0;2;7;01/04/2012
4;5;7;01/05/2012
0;0;7;01/06/2012
0;0;7;01/07/2012
0;0;7;01/08/2012
14;10;7;01/09/2012
133;115;7;01/10/2012
139;123;7;01/11/2012
119;115;7;01/12/2012
11;13;7;01/13/2012
2;0;7;01/14/2012
0;0;7;01/15/2012
5;7;7;01/16/2012
97;97;7;01/17/2012
83;83;7;01/18/2012
19;26;7;01/19/2012
5;8;7;01/20/2012
2;2;7;01/21/2012
0;0;7;01/22/2012
11;10;7;01/23/2012
84;83;7;01/24/2012
175;160;7;01/25/2012
138;167;7;01/26/2012
20;22;7;01/27/2012
0;0;7;01/28/2012
0;0;7;01/29/2012
2;8;7;01/30/2012
39;40;7;01/31/2012
62;53;7;02/01/2012
29;27;7;02/02/2012
8;15;7;02/03/2012
0;0;7;02/04/2012
0;0;7;02/05/2012
9;9;7;02/06/2012
78;90;7;02/07/2012
77;70;7;02/08/2012
102;118;7;02/09/2012
9;10;7;02/10/2012
0;0;7;02/11/2012
0;0;7;02/12/2012
10;11;7;02/13/2012
53;53;7;02/14/2012
74;73;7;02/15/2012
18;21;7;02/16/2012
5;5;7;02/17/2012
2;2;7;02/18/2012
0;0;7;02/19/2012
9;9;7;02/20/2012
47;49;7;02/21/2012
62;61;7;02/22/2012
105;113;7;02/23/2012
17;14;7;02/24/2012
0;0;7;02/25/2012
0;0;7;02/26/2012
6;8;7;02/27/2012
48;59;7;02/28/2012
153;143;7;02/29/2012
21;22;7;03/01/2012
4;4;7;03/02/2012
1;1;7;03/03/2012
0;0;7;03/04/2012
11;41;7;03/05/2012
63;67;7;03/06/2012
83;97;7;03/07/2012
95;110;7;03/08/2012
10;39;7;03/09/2012
1;1;7;03/10/2012
2;2;7;03/11/2012
5;9;7;03/12/2012
55;60;7;03/13/2012
78;84;7;03/14/2012
18;25;7;03/15/2012
5;7;7;03/16/2012
1;1;7;03/17/2012
0;0;7;03/18/2012
26;28;7;03/19/2012
64;74;7;03/20/2012
89;102;7;03/21/2012
67;82;7;03/22/2012
41;43;7;03/23/2012
0;0;7;03/24/2012
0;0;7;03/25/2012
16;15;7;03/26/2012
46;53;7;03/27/2012
54;71;7;03/28/2012
21;27;7;03/29/2012
9;18;7;03/30/2012
2;0;7;03/31/2012
