observed;actual;practitioner;date
55;50;3;01/01/2012
68;72;3;01/02/2012
32;40;3;01/03/2012
23;25;3;01/04/2012
63;60;3;01/05/2012
11;10;3;01/06/2012
12;12;3;01/07/2012
11;8;3;01/08/2012
331;297;3;01/09/2012
299;275;3;01/10/2012
227;184;3;01/11/2012
153;137;3;01/12/2012
265;232;3;01/13/2012
0;0;3;01/14/2012
10;9;3;01/15/2012
165;139;3;01/16/2012
101;95;3;01/17/2012
188;165;3;01/18/2012
59;54;3;01/19/2012
115;116;3;01/20/2012
1;1;3;01/21/2012
15;11;3;01/22/2012
125;123;3;01/23/2012
107;88;3;01/24/2012
98;93;3;01/25/2012
53;54;3;01/26/2012
140;128;3;01/27/2012
9;9;3;01/28/2012
3;3;3;01/29/2012
108;95;3;01/30/2012
91;88;3;01/31/2012
71;68;3;02/01/2012
85;90;3;02/02/2012
43;41;3;02/03/2012
1;1;3;02/04/2012
1;1;3;02/05/2012
120;120;3;02/06/2012
81;81;3;02/07/2012
68;63;3;02/08/2012
56;57;3;02/09/2012
76;71;3;02/10/2012
4;4;3;02/11/2012
0;0;3;02/12/2012
95;98;3;02/13/2012
68;63;3;02/14/2012
53;60;3;02/15/2012
34;42;3;02/16/2012
91;79;3;02/17/2012
11;9;3;02/18/2012
6;6;3;02/19/2012
42;40;3;02/20/2012
28;24;3;02/21/2012
96;99;3;02/22/2012
69;60;3;02/23/2012
82;79;3;02/24/2012
0;0;3;02/25/2012
1;1;3;02/26/2012
12;9;3;02/27/2012
37;33;3;02/28/2012
40;48;3;02/29/2012
72;76;3;03/01/2012
36;34;3;03/02/2012
28;25;3;03/03/2012
10;10;3;03/04/2012
128;112;3;03/05/2012
71;64;3;03/06/2012
106;85;3;03/07/2012
69;72;3;03/08/2012
55;48;3;03/09/2012
27;23;3;03/10/2012
2;1;3;03/11/2012
99;94;3;03/12/2012
55;58;3;03/13/2012
36;36;3;03/14/2012
58;59;3;03/15/2012
53;54;3;03/16/2012
7;7;3;03/17/2012
13;13;3;03/18/2012
1;1;3;03/19/2012
7;8;3;03/20/2012
4;5;3;03/21/2012
2;2;3;03/22/2012
9;8;3;03/23/2012
1;1;3;03/24/2012
2;2;3;03/25/2012
12;12;3;03/26/2012
2;2;3;03/27/2012
11;11;3;03/28/2012
3;3;3;03/29/2012
7;7;3;03/30/2012
3;0;3;03/31/2012
