observed;actual;practitioner;date
0;0;18;01/01/2012
0;0;18;01/02/2012
0;0;18;01/03/2012
6;6;18;01/04/2012
0;0;18;01/05/2012
0;0;18;01/06/2012
0;0;18;01/07/2012
0;0;18;01/08/2012
0;0;18;01/09/2012
0;0;18;01/10/2012
4;4;18;01/11/2012
0;0;18;01/12/2012
0;0;18;01/13/2012
0;0;18;01/14/2012
0;0;18;01/15/2012
0;0;18;01/16/2012
2;4;18;01/17/2012
6;6;18;01/18/2012
1;1;18;01/19/2012
0;0;18;01/20/2012
0;0;18;01/21/2012
0;0;18;01/22/2012
0;0;18;01/23/2012
4;7;18;01/24/2012
3;3;18;01/25/2012
0;0;18;01/26/2012
0;0;18;01/27/2012
0;0;18;01/28/2012
0;0;18;01/29/2012
0;0;18;01/30/2012
0;0;18;01/31/2012
5;5;18;02/01/2012
0;0;18;02/02/2012
0;0;18;02/03/2012
0;0;18;02/04/2012
0;0;18;02/05/2012
0;0;18;02/06/2012
11;10;18;02/07/2012
2;2;18;02/08/2012
0;0;18;02/09/2012
0;0;18;02/10/2012
0;0;18;02/11/2012
0;0;18;02/12/2012
0;0;18;02/13/2012
13;11;18;02/14/2012
6;8;18;02/15/2012
0;0;18;02/16/2012
0;0;18;02/17/2012
0;0;18;02/18/2012
0;0;18;02/19/2012
0;2;18;02/20/2012
11;8;18;02/21/2012
7;8;18;02/22/2012
0;0;18;02/23/2012
0;0;18;02/24/2012
0;0;18;02/25/2012
0;0;18;02/26/2012
0;0;18;02/27/2012
7;5;18;02/28/2012
8;11;18;02/29/2012
0;0;18;03/01/2012
0;0;18;03/02/2012
0;0;18;03/03/2012
0;0;18;03/04/2012
0;0;18;03/05/2012
1;1;18;03/06/2012
3;4;18;03/07/2012
0;0;18;03/08/2012
0;0;18;03/09/2012
0;0;18;03/10/2012
0;0;18;03/11/2012
0;1;18;03/12/2012
6;6;18;03/13/2012
4;6;18;03/14/2012
0;0;18;03/15/2012
0;0;18;03/16/2012
0;0;18;03/17/2012
0;0;18;03/18/2012
0;4;18;03/19/2012
5;5;18;03/20/2012
6;7;18;03/21/2012
0;0;18;03/22/2012
0;0;18;03/23/2012
0;0;18;03/24/2012
0;0;18;03/25/2012
0;0;18;03/26/2012
1;9;18;03/27/2012
0;4;18;03/28/2012
0;4;18;03/29/2012
0;2;18;03/30/2012
0;0;18;03/31/2012
