observed;actual;practitioner;date
0;0;15;01/01/2012
21;21;15;01/02/2012
20;24;15;01/03/2012
32;37;15;01/04/2012
50;61;15;01/05/2012
0;0;15;01/06/2012
0;0;15;01/07/2012
0;0;15;01/08/2012
196;181;15;01/09/2012
210;176;15;01/10/2012
36;35;15;01/11/2012
107;98;15;01/12/2012
51;49;15;01/13/2012
0;0;15;01/14/2012
0;0;15;01/15/2012
166;156;15;01/16/2012
187;172;15;01/17/2012
73;70;15;01/18/2012
45;44;15;01/19/2012
7;9;15;01/20/2012
0;0;15;01/21/2012
0;0;15;01/22/2012
180;169;15;01/23/2012
195;173;15;01/24/2012
69;68;15;01/25/2012
120;126;15;01/26/2012
64;69;15;01/27/2012
0;0;15;01/28/2012
0;0;15;01/29/2012
169;170;15;01/30/2012
168;163;15;01/31/2012
55;55;15;02/01/2012
66;75;15;02/02/2012
46;47;15;02/03/2012
0;0;15;02/04/2012
0;0;15;02/05/2012
149;151;15;02/06/2012
168;151;15;02/07/2012
25;20;15;02/08/2012
66;63;15;02/09/2012
49;48;15;02/10/2012
0;0;15;02/11/2012
0;0;15;02/12/2012
152;146;15;02/13/2012
204;193;15;02/14/2012
26;26;15;02/15/2012
45;60;15;02/16/2012
68;43;15;02/17/2012
0;0;15;02/18/2012
0;0;15;02/19/2012
244;203;15;02/20/2012
130;127;15;02/21/2012
57;64;15;02/22/2012
105;105;15;02/23/2012
32;40;15;02/24/2012
0;0;15;02/25/2012
0;0;15;02/26/2012
174;177;15;02/27/2012
105;99;15;02/28/2012
45;39;15;02/29/2012
84;80;15;03/01/2012
25;24;15;03/02/2012
0;0;15;03/03/2012
0;0;15;03/04/2012
114;100;15;03/05/2012
147;133;15;03/06/2012
61;60;15;03/07/2012
94;93;15;03/08/2012
13;20;15;03/09/2012
0;0;15;03/10/2012
0;0;15;03/11/2012
174;165;15;03/12/2012
76;88;15;03/13/2012
33;31;15;03/14/2012
109;66;15;03/15/2012
70;67;15;03/16/2012
0;0;15;03/17/2012
0;0;15;03/18/2012
149;153;15;03/19/2012
173;178;15;03/20/2012
115;123;15;03/21/2012
130;127;15;03/22/2012
27;30;15;03/23/2012
0;0;15;03/24/2012
0;0;15;03/25/2012
104;96;15;03/26/2012
152;148;15;03/27/2012
31;31;15;03/28/2012
103;103;15;03/29/2012
40;42;15;03/30/2012
0;0;15;03/31/2012
